gene_id,family
Zm00001d000112,NAC
Zm00001d000179,ERF
Zm00001d000184,MYB_related
Zm00001d000236,bHLH
Zm00001d000238,GRF
Zm00001d000247,HD-ZIP
Zm00001d000291,bHLH
Zm00001d000303,HD-ZIP
Zm00001d000339,ERF
Zm00001d000358,ARF
Zm00001d001837,MYB
Zm00001d001879,ARF
Zm00001d001936,G2-like
Zm00001d001945,ARF
Zm00001d001948,WOX
Zm00001d002005,SBP
Zm00001d002011,ERF
Zm00001d002025,AP2
Zm00001d002075,AP2
Zm00001d002079,ERF
Zm00001d002234,HD-ZIP
Zm00001d002332,MIKC_MADS
Zm00001d002364,ERF
Zm00001d002405,WRKY
Zm00001d002429,GRF
Zm00001d002439,G2-like
Zm00001d002449,LFY
Zm00001d002452,WRKY
Zm00001d002476,MYB
Zm00001d002618,ERF
Zm00001d002649,G2-like
Zm00001d002654,C2H2
Zm00001d002731,C2H2
Zm00001d002744,ERF
Zm00001d002747,ERF
Zm00001d002754,HD-ZIP
Zm00001d002760,ERF
Zm00001d002761,ERF
Zm00001d002762,ERF
Zm00001d002794,WRKY
Zm00001d002799,HD-ZIP
Zm00001d002801,Trihelix
Zm00001d002811,GATA
Zm00001d002828,NAC
Zm00001d002829,YABBY
Zm00001d002867,ERF
Zm00001d003064,MYB
Zm00001d003167,MIKC_MADS
Zm00001d003168,MIKC_MADS
Zm00001d003169,MIKC_MADS
Zm00001d003176,Nin-like
Zm00001d003331,WRKY
Zm00001d003408,M-type_MADS
Zm00001d003409,M-type_MADS
Zm00001d003412,MYB
Zm00001d003414,NAC
Zm00001d003583,NAC
Zm00001d003601,B3
Zm00001d003755,E2F/DP
Zm00001d003836,Trihelix
Zm00001d003871,ERF
Zm00001d003884,ERF
Zm00001d004086,WRKY
Zm00001d004512,E2F/DP
Zm00001d004744,MYB_related
Zm00001d004791,TCP
Zm00001d004857,bZIP
Zm00001d004889,WOX
Zm00001d005016,AP2
Zm00001d005087,G2-like
Zm00001d005100,Dof
Zm00001d005208,NAC
